f3,f2,f1,f0
0,2,4,1
7,6,12,3
8,9,13,5
10,17,14,11
21,18,15,16
23,24,19,20
30,25,22,26
37,27,29,28
40,33,31,35
43,39,32,38
53,41,34,45
58,42,36,48
64,47,44,50
66,49,46,54
75,52,51,57
77,56,55,59
80,63,60,62
86,65,61,78
87,70,67,82
93,72,68,84
97,74,69,88
100,83,71,91
105,89,73,94
106,90,76,102
109,95,79,108
110,101,81,113
111,103,85,114
112,104,92,117
115,116,96,121
119,118,98,129
123,128,99,131
124,130,107,134
132,140,120,137
135,143,122,142
138,150,125,145
148,158,126,147
151,164,127,149
153,169,133,159
154,175,136,166
155,181,139,171
161,183,141,172
162,187,144,173
170,188,146,177
186,191,152,178
189,194,156,180
190,199,157,184
196,201,160,197
200,205,163,216
202,207,165,220
203,209,167,222
204,215,168,225
206,228,174,236
212,229,176,237
213,231,179,239
214,232,182,243
224,233,185,245
230,235,192,249
234,240,193,250
238,242,195,251
246,254,198,252
247,257,208,253
255,264,210,258
256,266,211,259
267,271,217,260
268,274,218,262
272,276,219,265
273,277,221,269
280,278,223,275
281,282,226,279
285,300,227,283
289,304,241,287
291,305,244,292
295,307,248,299
296,308,261,312
298,314,263,313
310,318,270,316
311,320,284,321
319,326,286,333
325,328,288,337
327,329,290,339
338,331,293,340
345,332,294,341
348,334,297,342
351,335,301,344
352,354,302,349
356,358,303,353
359,365,306,355
361,366,309,360
363,367,315,362
364,368,317,371
369,370,322,380
373,376,323,383
374,384,324,387
375,389,330,388
379,396,336,393
381,401,343,394
385,403,346,395
390,406,347,399
391,407,350,404
397,409,357,408
398,411,372,412
402,413,377,415
421,420,378,422
423,424,382,430
425,429,386,447
426,431,392,453
428,432,400,459
434,436,405,461
435,437,410,464
438,441,414,476
440,445,416,481
444,448,417,483
449,454,418,484
451,458,419,487
455,462,427,495
460,463,433,496
470,465,439,498
471,466,442,500
472,467,443,504
479,469,446,507
489,473,450,508
494,474,452,509
503,475,456,511
531,477,457,514
533,478,468,519
540,485,480,520
541,486,482,521
544,488,491,523
547,490,492,526
548,497,493,527
550,499,512,530
553,501,515,535
559,502,516,539
563,505,524,549
564,506,534,551
570,510,536,555
574,513,537,558
580,517,538,560
583,518,542,573
585,522,556,575
587,525,562,578
593,528,567,589
594,529,569,596
597,532,571,599
598,543,576,605
602,545,579,607
608,546,581,609
610,552,584,611
612,554,586,617
620,557,590,618
623,561,591,625
624,565,595,628
626,566,600,640
629,568,604,641
631,572,615,646
635,577,616,648
